Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScore_binned
0,1,0.7567567567567568,6,0.0,2,1,0,0.6179203613945131,1
0,1,0.2837837837837838,5,0.0,2,1,1,0.5719416204247505,2
1,1,0.24324324324324326,2,0.4104847111430781,2,0,1,0.24589343282283455,2
0,1,0.3108108108108108,5,0.0,1,0,1,0.4413822520050665,1
0,1,0.3108108108108108,4,0.49495079854932345,1,0,0,0.5007570723004047,3
2,1,0.0675675675675676,2,0.37187198196686155,2,0,1,0.6359380320820638,2
1,1,0.36486486486486486,0,0.0,2,0,1,0.3519742635421683,0
1,1,0.10810810810810811,8,0.5748895896337833,1,1,1,0.9220289537650845,1
1,1,0.10810810810810811,8,0.4636074750509261,1,1,1,0.4162471015982026,2
2,0,0.09459459459459457,2,0.6307996206746732,3,1,1,0.9968234966439293,1
2,0,0.27027027027027034,7,0.6972458020704743,1,1,0,0.20038283656089154,0
0,1,0.08108108108108109,2,0.0,1,0,1,0.6061625385224289,2
2,1,0.2027027027027027,8,0.369310105150661,2,1,0,0.006713991186158277,0
1,1,0.6351351351351351,7,0.5369299543093374,2,0,1,0.9521320786135075,2
2,1,0.5810810810810811,6,0.5334647226688733,2,1,1,0.22586767036251962,0
0,0,0.16216216216216217,9,0.0,2,0,0,0.681792061141839,0
0,0,0.2837837837837838,4,0.0,1,1,1,0.7376628468018696,1
0,1,0.3378378378378379,2,0.3986220461064491,1,1,0,0.12133028704241254,1
1,1,0.28265154327115366,10,0.4341818225878085,1,1,1,0.5058319069471134,3
1,1,0.25675675675675674,8,0.5127584271366913,2,1,1,0.8182278907635678,0
0,0,0.36486486486486486,5,0.36981812017779814,1,1,0,0.8668543845937287,1
1,0,0.22972972972972977,8,0.05684698516437491,2,1,0,0.27341401103805413,2
2,1,0.37837837837837845,5,0.46966252313837864,1,1,0,0.5200748171450373,2
2,0,0.2972972972972973,8,0.5651002365143554,2,0,0,0.43165147271564436,3
2,1,0.13513513513513514,3,0.49883133825371095,2,1,1,0.5301128257748615,3
2,1,0.37837837837837845,6,0.492517778832035,3,0,1,0.2850401713363626,3
0,0,0.36486486486486486,6,0.0,1,1,1,0.6887051213390879,2
2,0,0.27027027027027034,8,0.22745661395828085,2,1,0,0.9449063885601074,0
1,0,0.1756756756756757,10,0.4709431626203293,1,1,1,0.7901554098416399,0
1,1,0.2027027027027027,3,0.0,2,1,0,0.36507066424843576,2
1,1,0.5405405405405406,1,0.0,2,1,1,0.058847619947704995,0
0,0,0.3108108108108108,2,0.5046641447130985,1,1,0,0.9911586556516147,3
2,0,0.2837837837837838,9,0.5494015518412276,1,1,1,0.5881122647212809,1
0,1,0.28265154327115366,7,0.3400253066892618,1,0,1,0.7836764911049005,0
1,0,0.3108108108108108,6,0.44687259277262736,1,1,0,0.08763456910134916,1
0,0,0.2027027027027027,2,0.6685324308367594,2,1,1,0.32608564117873257,1
2,0,0.4189189189189189,1,0.48089987452674515,4,0,0,0.8308429455012952,4
0,0,0.37837837837837845,5,0.0,1,1,0,0.38836488884688486,1
2,0,0.08108108108108109,2,0.43636657417360175,2,0,1,0.637806860555183,1
1,0,0.21621621621621623,5,0.0,2,1,0,0.8191735310722175,1
1,1,0.25675675675675674,5,0.5153996588814208,1,1,1,0.13392398974102024,1
0,0,0.1756756756756757,3,0.45891612805820886,1,1,0,0.1989948540085578,0
1,1,0.28265154327115366,9,0.4875712684779705,2,0,1,0.6221474650829154,3
0,1,0.25675675675675674,2,0.7427237489133537,2,1,0,0.4640350653487408,1
2,1,0.527027027027027,3,0.5498104429571387,1,1,1,0.36231665124019347,1
2,1,0.1891891891891892,9,0.4939798465584175,2,1,0,0.9945091756262723,1
1,1,0.3108108108108108,5,0.0,2,0,1,0.705278704116243,1
1,1,0.37837837837837845,6,0.0,2,1,0,0.22939565728527073,1
2,1,0.21621621621621623,3,0.37879814071123463,2,1,1,0.7352916703545188,1
0,1,0.10810810810810811,7,0.0,2,1,0,0.007647280315270108,2
0,0,0.2027027027027027,1,0.0,2,1,0,0.5137446626152797,0
1,1,0.35135135135135137,1,0.3321100212440837,1,0,1,0.4041245938987173,1
0,0,0.25675675675675674,7,0.46192228884643965,1,1,0,0.24239649886564163,1
0,1,0.2972972972972973,8,0.2907367290041945,2,1,0,0.4946468387731028,1
1,1,0.28265154327115366,3,0.0,2,1,0,0.22670415024634852,2
1,1,0.24324324324324326,10,0.0,2,1,1,0.9016212048250608,1
0,0,0.3108108108108108,6,0.0,2,1,1,0.8460404468626753,4
0,1,0.2837837837837838,5,0.0,2,1,1,0.7922408089972591,1
1,0,0.36486486486486486,4,0.0,2,1,1,0.9670947075445704,0
1,0,0.2027027027027027,3,0.0,2,1,1,0.29339806951563874,0
1,1,0.25675675675675674,4,0.0,1,1,0,0.6088186421803281,0
0,0,0.3108108108108108,0,0.0,2,0,1,0.8763382403019487,0
0,0,0.28265154327115366,2,0.0,2,1,1,0.03828315604140195,1
0,0,0.25675675675675674,1,0.0,2,1,1,0.34491278917136586,1
0,0,0.14864864864864863,4,0.3413609485827493,1,0,0,0.31613739112085204,0
0,1,0.3243243243243243,2,0.3995181868463009,1,0,0,0.43397059419174533,0
1,1,0.1891891891891892,10,0.6318797404954339,1,1,0,0.8342746232265181,1
1,0,0.5540540540540542,1,0.0,1,0,1,0.6513048496131381,1
2,1,0.7567567567567568,5,0.6434260220952659,2,1,1,0.32763423906983113,1
0,0,0.47297297297297297,7,0.0,1,1,1,0.6845583753248434,2
1,0,0.527027027027027,2,0.5817713877375471,1,1,1,0.32221467150112837,0
2,0,0.3243243243243243,2,0.47385637730442676,2,0,0,0.4370945925335869,2
2,1,0.48648648648648657,2,0.5140179823608861,1,0,0,0.09311799276830937,3
0,1,0.24324324324324326,2,0.5901276091818795,1,1,0,0.8956710865887691,2
2,1,0.2027027027027027,9,0.2998918006908702,1,0,1,0.5084640083127938,0
0,1,0.09459459459459457,1,0.0,1,1,0,0.5029850350708492,1
0,1,0.25675675675675674,1,0.0,2,1,1,0.4143194175043717,2
1,1,0.4324324324324324,2,0.0,2,0,0,0.05380788865336639,2
0,1,0.24324324324324326,7,0.5773342475424983,1,0,0,0.6543143370191853,3
1,1,0.4594594594594595,4,0.4435447475905457,1,0,1,0.16464002312220816,1
1,1,0.24324324324324326,7,0.517878155230277,1,0,0,0.37830102774814994,2
0,0,0.445945945945946,1,0.0,2,1,1,0.2845113208311394,0
1,0,0.4324324324324324,6,0.3773813901891402,1,1,1,0.2524107552271242,1
1,1,0.28265154327115366,4,0.40442830792374707,1,0,1,0.444175218733389,0
1,1,0.24324324324324326,7,0.538447582442736,1,1,0,0.7193090940184788,2
0,0,0.2972972972972973,6,0.0,1,1,1,0.8092595342855242,1
0,1,0.16216216216216217,3,0.0,2,1,0,0.8515605740348202,0
0,1,0.6486486486486487,4,0.0,2,0,1,0.32172682491177906,4
1,1,0.25675675675675674,0,0.481572817074853,1,1,0,0.14124503890121504,0
0,0,0.3243243243243243,4,0.0,2,0,0,0.8384340204489528,1
0,1,0.21621621621621623,3,0.5711201308866083,1,1,0,0.3326039136737558,2
2,1,0.3378378378378379,4,0.4391525658884052,2,1,1,0.43767049753251436,3
2,0,0.3378378378378379,9,0.3938150744790445,1,0,0,0.9228804350815503,2
0,1,0.013513513513513542,6,0.0,2,1,1,0.7579234316877261,2
0,1,0.2027027027027027,5,0.0,2,0,1,0.3934701263970709,0
1,0,0.2027027027027027,3,0.4867888791022682,2,0,1,0.1392933525151652,2
0,1,0.28265154327115366,5,0.33134688271241924,1,1,0,0.9397645975190629,0
2,1,0.25675675675675674,8,0.2916695778752242,2,1,1,0.126416822806578,2
2,1,0.13513513513513514,7,0.6682327872643431,2,1,1,0.5556864180529241,3
0,1,0.10810810810810811,9,0.0,2,1,1,0.7662032224077399,1
2,0,0.48648648648648657,1,0.5740490093009477,1,1,1,0.5436491184908159,2
2,0,0.1891891891891892,0,0.3520754183501358,1,0,0,0.7979423534947587,2
0,1,0.1756756756756757,5,0.0,1,1,0,0.6744562605728848,2
0,1,0.1756756756756757,9,0.6262337828079919,2,1,0,0.7065122219171931,4
0,1,0.2837837837837838,1,0.3894012106668489,1,1,1,0.15350190943235076,0
2,0,0.10810810810810811,1,0.3879311715764756,1,1,0,0.31855997247737156,2
0,1,0.10810810810810811,9,0.42057737466235795,1,1,0,0.05415957223914883,0
2,1,0.35135135135135137,7,0.6531251792311372,1,1,1,0.5616618387055964,1
0,1,0.1891891891891892,1,0.5009435902840074,1,1,1,0.2812025548439876,2
1,1,0.36486486486486486,3,0.0,2,0,0,0.8182952972008827,1
1,0,0.35135135135135137,7,0.7700856550960592,2,1,1,0.6869715557835773,1
0,0,0.10810810810810811,2,0.0,2,1,1,0.39323740417209846,0
0,0,0.12162162162162166,5,0.0,2,1,0,0.6596024920379896,0
0,1,0.2027027027027027,1,0.4497178515787028,1,0,1,0.8759185502215461,0
1,0,0.27027027027027034,10,0.0,2,1,0,0.948668297822442,2
1,1,0.27027027027027034,7,0.4443432789783295,1,1,1,0.380359424325023,2
0,1,0.27027027027027034,9,0.5591074447796713,3,1,1,0.8573092730355748,0
2,0,0.28265154327115366,2,0.5568287905260658,1,1,0,0.010694221298133971,3
0,1,0.24324324324324326,8,0.5694841678547653,1,1,0,0.44990016546580197,4
0,0,0.7297297297297298,9,0.0,1,0,1,0.3491224411931339,2
0,1,0.1756756756756757,5,0.0,2,1,0,0.4685524967634409,0
0,0,0.4594594594594595,4,0.0,1,1,0,0.45480823418636473,1
1,0,0.21621621621621623,6,0.5507819130867039,2,0,1,0.7325680602497538,4
2,1,0.48648648648648657,1,0.3976694282527221,1,0,0,0.024424982585836943,0
0,0,0.4324324324324324,8,0.0,2,1,1,0.2889827978571954,0
1,0,0.1756756756756757,8,0.0,2,0,1,0.6582270106795198,2
1,1,0.21621621621621623,6,0.48279466774737106,2,1,0,0.43228478319679525,1
0,0,0.3108108108108108,6,0.0,3,1,1,0.6935120804036785,1
0,0,0.22972972972972977,1,0.41763494492923403,2,0,1,0.8925899423394933,0
0,1,0.25675675675675674,1,0.40033529151218333,2,0,1,0.5084593078639009,0
0,0,0.21621621621621623,5,0.6566712405024686,1,1,0,0.5537393821109916,2
0,1,0.6351351351351351,2,0.0,2,1,1,0.24032310085613173,0
0,1,0.35135135135135137,7,0.0,2,1,0,0.11708218134831874,2
0,0,0.16216216216216217,8,0.0,2,1,0,0.6443829385706334,1
2,1,0.10810810810810811,3,0.520067530207185,1,1,0,0.6140533920989454,1
1,1,0.2837837837837838,10,0.5430812964737994,1,0,0,0.4459822413040445,2
0,1,0.16216216216216217,7,0.0,2,0,1,0.7154408746035246,2
1,0,0.25675675675675674,8,0.0,2,1,1,0.9166235875526112,2
0,0,0.1756756756756757,3,0.47746345936710805,1,0,0,0.9126714601244418,2
0,1,0.10810810810810811,4,0.5973726623427066,1,0,0,0.25004682947221457,0
0,0,0.4189189189189189,8,0.6401094962500512,2,1,0,0.6463735286719882,4
2,1,0.24324324324324326,6,0.5864442411658056,1,1,1,0.16839768197862895,2
0,0,0.4189189189189189,4,0.0,2,1,1,0.11811112961287801,1
0,0,0.12162162162162166,4,0.0,3,1,0,0.8155870385621826,1
2,1,0.3108108108108108,10,0.4512597126586337,2,1,1,0.570361119486911,1
1,1,0.25675675675675674,4,0.0,2,1,1,0.824242665174524,0
0,0,0.24324324324324326,5,0.38926406334938624,1,1,0,0.5918613727610986,0
0,1,0.7972972972972974,5,0.0,2,1,1,0.8079185062173437,1
2,1,0.2027027027027027,3,0.35198147582550354,2,1,1,0.8882838311058706,1
0,0,0.2972972972972973,9,0.0,2,0,1,0.16628943064062618,0
0,1,0.27027027027027034,1,0.48388188208208366,1,1,1,0.7742371396468363,0
0,1,0.4189189189189189,9,0.4449387797252662,2,0,1,0.8322231773134334,0
1,0,0.527027027027027,3,0.6997899027449752,2,1,0,0.49529815097341795,1
2,0,0.25675675675675674,3,0.41234973131919817,1,0,0,0.005513226513132003,4
1,0,0.24324324324324326,4,0.0,1,1,0,0.5851927859110545,2
2,1,0.28265154327115366,3,0.1395650321610659,1,1,0,0.26830312294824155,2
0,1,0.5135135135135136,7,0.0,1,1,1,0.7120114470931973,1
1,1,0.28265154327115366,5,0.58461891838236,1,1,0,0.5108901900131463,1
2,1,0.0675675675675676,6,0.4168726433907887,2,1,0,0.6586861545277574,0
0,1,0.3108108108108108,5,0.0,1,1,1,0.3282598988203373,2
0,1,0.25675675675675674,6,0.4956130993265035,2,0,1,0.8849483125638498,2
2,1,0.27027027027027034,9,0.45277116298493947,1,0,0,0.059699251278497095,0
0,0,0.22972972972972977,9,0.44929421343940884,2,1,0,0.9187943948647095,0
0,0,0.35135135135135137,2,0.0,2,1,1,0.13362416110738573,2
1,1,0.2972972972972973,10,0.0,2,1,1,0.2649208999459448,1
2,0,0.36486486486486486,3,0.5728780557875113,2,1,1,0.482010031958052,0
0,1,0.2837837837837838,3,0.0,2,1,0,0.996989562503219,1
0,1,0.3108108108108108,6,0.6107614450153847,1,1,0,0.05826311412739916,0
2,1,0.1891891891891892,4,0.3364777308587722,1,0,1,0.2615406271298909,2
0,0,0.27027027027027034,4,0.3931506214335869,1,1,1,0.5522847931977504,1
1,1,0.4324324324324324,7,0.635531502053284,2,0,0,0.27277209973552474,1
0,0,0.1756756756756757,1,0.6084692394429946,1,0,1,0.08559347417678387,2
0,0,0.3243243243243243,1,0.0,2,0,1,0.32780300518699534,1
0,0,0.35135135135135137,8,0.531869214309284,1,0,1,0.02848577039107234,2
0,1,0.28265154327115366,3,0.6252108176670458,2,0,0,0.44443829385706335,2
1,1,0.24324324324324326,4,0.0,1,0,0,0.8651070177201922,1
1,0,0.27027027027027034,2,0.44960055295757734,1,1,0,0.8981871268706161,4
0,1,0.16216216216216217,7,0.0,2,1,1,0.7817509572164141,1
0,1,0.3243243243243243,4,0.49147998695406575,2,1,1,0.41432336788163265,3
0,0,0.13513513513513514,7,0.4963779517014259,1,0,1,0.944286729382656,3
2,1,0.25675675675675674,9,0.5411613934566023,3,1,0,0.4273351605078285,3
2,0,0.3378378378378379,10,0.44170483721099674,1,0,0,0.36428658936928476,2
2,1,0.4324324324324324,3,0.4671470396606049,1,1,0,0.21416345260972422,0
0,1,0.1891891891891892,9,0.3995622684891703,2,0,1,0.33797282640492166,2
0,0,0.16216216216216217,9,0.3531080686983309,1,1,0,0.9816981021687571,1
0,0,0.25675675675675674,6,0.0,2,1,0,0.41086373748692995,0
2,0,0.3243243243243243,5,0.19732629291837178,3,1,1,0.501610053760134,1
2,1,0.24324324324324326,2,0.453878425300089,2,1,0,0.8746351776594664,0
1,1,0.2837837837837838,6,0.0,1,1,1,0.47566387590014847,2
2,0,0.12162162162162166,9,0.4465784095845449,1,1,1,0.5985403105996623,4
1,0,0.5,0,0.5312753875487853,1,1,0,0.11411654813034643,3
2,1,0.37837837837837845,4,0.5084134757661967,2,1,1,0.6347652200785174,0
2,1,0.445945945945946,4,0.43834064260911676,1,0,0,0.8887298737029385,1
2,0,0.27027027027027034,9,0.39525027870877777,1,1,0,0.32857807920656423,2
2,0,0.2837837837837838,10,0.4087563201457612,2,1,0,0.8598804685847498,2
1,1,0.7567567567567568,5,0.0,2,0,0,0.7571435072049381,2
0,0,0.13513513513513514,8,0.0,2,0,0,0.5257917631133773,2
2,0,0.37837837837837845,3,0.444454359935542,3,1,0,0.7979020496457411,3
1,0,0.28265154327115366,9,0.7323490585360775,1,1,1,0.9850046179410133,3
2,0,0.05405405405405406,10,0.44457596309322245,2,0,0,0.5316321208675429,2
0,1,0.2837837837837838,2,0.3629703199414551,1,1,0,0.13284823700663412,1
0,0,0.24324324324324326,2,0.39646678856742196,2,1,0,0.4713607149482775,2
1,1,0.14864864864864863,2,0.0,1,1,1,0.8446448135796968,0
1,0,0.10810810810810811,4,0.5416108588152266,1,1,1,0.8284813699708321,2
2,1,0.2837837837837838,5,0.36484339119520603,1,1,1,0.46890188012955236,2
0,0,0.27027027027027034,1,0.0,2,1,0,0.10362604628742045,3
2,1,0.1756756756756757,3,0.4910841688750999,2,1,1,0.5607822047005488,1
0,0,0.445945945945946,3,0.0,2,0,1,0.8705166343385793,0
0,1,0.40540540540540543,4,0.0,2,0,1,0.7341193083939517,3
0,0,0.1756756756756757,2,0.6029944667972563,1,1,1,0.8622100410589211,3
0,0,0.3378378378378379,9,0.0,2,0,1,0.05703384673236293,0
0,1,0.2027027027027027,9,0.0,2,1,1,0.42085634178064,1
1,1,0.21621621621621623,0,0.0,1,1,0,0.9149741800341932,0
0,1,0.2837837837837838,10,0.5168428743319649,2,1,0,0.402742361895561,0
2,0,0.0675675675675676,7,0.39368665580515183,1,1,0,0.5730166230875049,2
0,1,0.22972972972972977,1,0.3463289816195891,1,0,0,0.29684454865439647,0
1,1,0.22972972972972977,9,0.4899575760022725,2,0,0,0.7491238413268467,3
1,0,0.27027027027027034,4,0.35367523124628014,2,1,0,0.3350742495908359,1
0,0,0.1891891891891892,2,0.3163390761563789,2,1,1,0.7273712639557077,1
0,0,0.2837837837837838,5,0.3230093142598256,1,0,1,0.5490203814464281,3
2,0,0.24324324324324326,0,0.545959636440437,2,1,1,0.4950876308687479,4
2,1,0.28265154327115366,8,0.5878371971663875,2,1,0,0.3333777875787138,0
0,0,0.21621621621621623,3,0.42944754980000055,1,1,0,0.04619331146124454,0
0,1,0.5,9,0.0,1,1,0,0.7667993293359515,2
0,0,0.39189189189189194,10,0.0,2,1,0,0.8389153164127173,1
1,1,0.4189189189189189,4,0.4427594486669867,1,0,1,0.7334133909788384,1
0,1,0.3378378378378379,4,0.5485840486071457,1,1,0,0.6522147865121118,1
1,1,0.22972972972972977,3,0.0,2,1,1,0.8822773074828646,2
2,1,0.4324324324324324,7,0.3519462822534839,1,1,1,0.9797214633997546,1
0,1,0.28265154327115366,1,0.3729693597906625,1,1,1,0.2583208696430509,0
0,0,0.040540540540540515,3,0.0,2,1,1,0.01807617627483424,0
0,1,0.2972972972972973,10,0.5095609137558601,1,0,0,0.8662532271831959,1
1,0,0.1756756756756757,3,0.49553521910031284,1,1,1,0.7022667664761983,3
2,1,0.10810810810810811,8,0.5824412214536987,1,1,1,0.8765096066674367,2
2,1,0.08108108108108109,1,0.5333312023220265,1,1,0,0.08588005154492254,0
0,0,0.12162162162162166,4,0.34780017655774104,2,1,0,0.9136297016365063,1
0,1,0.40540540540540543,2,0.0,1,1,0,0.2161087383845157,1
1,0,0.22972972972972977,6,0.0,2,0,0,0.012062751992815314,1
1,0,0.2972972972972973,8,0.0,1,1,0,0.8351744091560744,2
0,1,0.22972972972972977,6,0.6441417708680047,2,1,1,0.7412036849519129,1
0,1,0.14864864864864863,7,0.5259500381210555,1,0,0,0.9463765289585154,2
0,0,0.2027027027027027,2,0.37661916836433473,1,0,1,0.5093226903169252,3
2,0,0.28265154327115366,9,0.5360932799448573,1,1,0,0.09036102947831517,0
1,1,0.1891891891891892,10,0.0,2,1,0,0.9577618162534521,2
0,1,0.14864864864864863,9,0.0,1,1,1,0.40194683592283065,1
0,1,0.2027027027027027,5,0.0,2,1,0,0.9097565817535573,0
0,0,0.1756756756756757,5,0.5476777045213856,1,0,1,0.8092942876044662,0
0,1,0.24324324324324326,8,0.0,2,0,1,0.027802705158342617,1
0,0,0.2837837837837838,2,0.0,2,1,0,0.8972848907070625,4
2,1,0.08108108108108109,8,0.41091524451222416,1,1,1,0.7879037948124046,1
0,1,0.28265154327115366,4,0.3649409606904541,1,1,1,0.6197720382296509,1
1,0,0.2972972972972973,4,0.0,2,1,0,0.661847656451191,3
2,1,0.2972972972972973,10,0.5478570203543599,2,1,1,0.07051438412368381,1
0,0,0.7297297297297298,5,0.4831280301894686,2,1,1,0.526024735362227,3
1,1,0.16216216216216217,2,0.5621406284918312,1,1,1,0.02983594933316131,4
0,1,0.25675675675675674,7,0.0,2,1,0,0.37621952896501615,1
0,1,0.1756756756756757,7,0.469064351984505,1,1,1,0.796740338702346,3
2,0,0.27027027027027034,1,0.32715880778526457,1,0,1,0.05161592932125018,3
0,1,0.2027027027027027,3,0.0,1,1,1,0.03827940568324274,2
1,1,0.2972972972972973,10,0.0,2,1,1,0.9739972167341981,1
2,0,0.4189189189189189,9,0.46030051484250045,2,1,1,0.6932923594203246,1
1,0,0.27027027027027034,9,0.0,2,1,1,0.7926550485571372,2
1,0,0.16216216216216217,5,0.40129257261384493,1,1,1,0.8918324700008851,1
1,0,0.3378378378378379,8,0.5118118276627774,1,0,1,0.6951300349183347,2
1,1,0.3243243243243243,0,0.0,1,1,0,0.6818932708073621,2
0,1,0.0675675675675676,1,0.42960657851161804,1,0,1,0.5818917706640985,2
1,1,0.21621621621621623,8,0.4330600125333756,1,0,1,0.7236369073246496,0
2,0,0.5,1,0.3040948219255077,1,1,0,0.21178607557021692,2
0,0,0.14864864864864863,4,0.6099688921505939,1,1,1,0.656822676565612,0
0,1,0.47297297297297297,6,0.0,2,0,1,0.4880630600222321,2
2,0,0.2972972972972973,7,0.5121079638350376,2,1,0,0.05049427220299538,1
0,1,0.6621621621621623,4,0.5818373109177516,1,1,1,0.6552206735743263,1
0,0,0.16216216216216217,6,0.0,2,0,0,0.896062273947162,2
0,0,0.08108108108108109,7,0.39924381249773566,1,1,0,0.6070428225895573,2
1,1,0.37837837837837845,8,0.7268470238254904,1,0,0,0.696341000565554,3
2,1,0.16216216216216217,3,0.5355418209839702,1,1,0,0.3416923816224449,0
0,0,0.22972972972972977,2,0.0,2,1,1,0.46911580055895336,0
0,1,0.3378378378378379,4,0.7020162648508007,1,1,1,0.2642517360407919,2
2,1,0.3378378378378379,8,0.5316079129976637,1,1,0,0.886920100869633,1
0,1,0.13513513513513514,3,0.4159756656577179,1,1,1,0.14964514111097607,1
1,1,0.36486486486486486,0,0.4969885581831253,1,0,1,0.9360022382137493,2
2,0,0.1891891891891892,3,0.496189628227142,2,0,1,0.26288615562786244,3
2,0,0.10810810810810811,10,0.2902993801188363,2,1,0,0.4839490671359114,1
0,1,0.25675675675675674,9,0.8462162067475285,1,0,1,0.7440858601996491,0
1,0,0.2027027027027027,6,0.0,2,1,0,0.22627105888612362,0
2,0,0.22972972972972977,9,0.47807494269884643,1,1,0,0.24105497074970658,4
2,0,0.14864864864864863,4,0.42886651707870715,1,1,0,0.09456203067392935,3
0,1,0.4189189189189189,7,0.0,2,1,1,0.44803118697835637,0
0,0,0.2972972972972973,9,0.5175821386284767,1,0,0,0.0899153869194508,0
0,0,0.28265154327115366,6,0.49086842390868746,1,1,0,0.8626806360007381,2
0,0,0.2027027027027027,6,0.3376635111092317,2,1,1,0.5652400304229053,1
0,1,0.39189189189189194,3,0.0,2,1,0,0.871541782240204,2
2,0,0.4189189189189189,6,0.4975293355162649,1,0,1,0.46774356951088825,0
0,1,0.7297297297297298,1,0.0,2,0,1,0.5599015205952168,2
1,0,0.28265154327115366,7,0.5870332452510898,1,1,1,0.2890049499727224,1
0,1,0.4189189189189189,9,0.6355509920382416,1,1,0,0.6792137149097739,2
0,0,0.2972972972972973,6,0.38044486508446523,1,0,1,0.899850785750039,2
1,0,0.4189189189189189,10,0.32810883494569454,1,0,1,0.05566941642926899,2
0,0,0.013513513513513542,3,0.0,2,1,1,0.6214880521089764,3
1,1,0.5,6,0.0,1,0,1,0.3677874737037387,0
2,1,0.2027027027027027,2,0.6449416972444869,2,1,0,0.8469324820520359,2
0,1,0.25675675675675674,7,0.5414448153032971,1,1,0,0.7244153316641738,1
2,0,0.3378378378378379,7,0.3825625376422755,1,0,1,0.5763098375894897,1
0,1,0.5810810810810811,1,0.0,1,1,0,0.2653065867790374,4
2,1,0.47297297297297297,7,0.4235250654957159,1,1,0,0.4681351069027092,1
1,0,0.22972972972972977,8,0.0,3,0,1,0.4432780830569319,1
0,1,0.2027027027027027,0,0.5271303181303613,2,0,1,0.37291976383744646,1
1,0,0.36486486486486486,5,0.6938606029244783,4,1,0,0.028291351824099198,4
1,0,0.28265154327115366,5,0.6587221528868554,1,1,0,0.07049808256688513,4
1,0,0.22972972972972977,1,0.4240966122938601,1,1,1,0.414482933120113,1
0,0,0.27027027027027034,4,0.289336598776021,1,1,1,0.3801908082221852,1
0,1,0.21621621621621623,9,0.0,2,1,0,0.8549280456283573,3
2,1,0.5540540540540542,9,0.4881308183733085,1,0,1,0.07898499306683787,2
0,0,0.28265154327115366,7,0.5836841563839725,2,1,0,0.9216188145967938,0
0,1,0.2972972972972973,6,0.5237634132647243,1,1,1,0.9733156016399565,1
0,0,0.2972972972972973,7,0.0,1,1,0,0.6349860911717069,1
0,1,0.22972972972972977,6,0.5066601742564083,1,1,0,0.14349425370122845,4
2,0,0.3243243243243243,10,0.4530022926838543,2,0,1,0.6997423253920748,3
